number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15   282791231  1855451778         992         946
processing times :
 23  4 22 41 90 84 93 96 82 65 58 26 15 69 58
 73 51 55 86 63 64 74 86 71 60 66 66 32 22 37
 26 90 16 26 26 86 39 46 22 43 56 95 33 95 77
 32 47 96 21 63 79 91 80 78 75 18 64 29 30 74
 61 47 95 16 41 83 82  4 94 76 70 91 39 33 58
 57 49 41 63 89 38 89 77 12 20 12 69  3 93 14
 73 70 10 10 66 78 38 63 94 69 67 64 10 91 55
 66 30 89 49 49 36 90 14 85 29 57 38 78 58 94
 31 33 84 92 36 45 84 81 74 43 24 49 56 53  1
 38 76 62 99 64 26 14 16 63 85 48 74 31 87 76
 42 96 78 31 28 38 38 27 41  9 92  8 30 35 47
 74 45 50 89 42 31 11 28 19  6 69 36 58 65 36
 15 64 58 56 11 52 21 81 66 72  2 76 37 18 90
 72 43 86 17 23 55 61  6 22 43 23 96 51 83 43
 52 72 17 84 50 80 95 51 76 38 35 63 36 58 28
machines :
  7 14  9 13 15 11  2  5  8  4 10 12  3  6  1
  8 15  6 14  9 11  5  7 12  1 10  3 13  4  2
  8 14 12  1 10  5  3  4  9 11 13  2  7  6 15
 12  1  2  3 11 10 14 13  8  9  5  6 15  4  7
 10  3 14 15  4  1  8  9 13  2 12  6  5 11  7
 11  7  1 12  4  5  2  6 13  8  3 10  9 15 14
 13  4  3  9 12 14 10  2  1  7  6  8 11  5 15
  3 13  7  4  6 12  5 10  1  2 11 15 14  8  9
 14  2 15  4 11 12 13 10  7  9  5  6  1  3  8
  3  5  6 15 13 12  2  7 11 14  8  1 10  9  4
  7 12  5  2  3  1 10 13  8  6 11  4 14 15  9
 13  6 10  1  8 15  2 12  4 11  9  5 14  3  7
 12  5  7 10 11  6 13  8  4  2  3  1 14  9 15
 12  6 14  8 13  4 15  5 10  3  2 11  7  1  9
 12 13 14  4 15 10  6  5  9  2  8 11  1  3  7
