number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15   379464508   944419714         931         891
processing times :
 83  7 83 65 62 91 15 78 43 89 16  8 23 91  4
 25 82 44 28 77 89 40  1 70 79 34  3 30 28 93
  7 13 12 34 19 13 90 89 91 94 18 94 43 27 42
 81 54 27 37 33 77 17 49 90 61 88 38 13 96 75
 59  3 96  6 61 73 49 32 81 54 38 20  3  3 12
 46 22 24 83 39 55 57 46 15 67 34 10  9 32 87
 81 92 40 89 76 48 85 77 21 43 73  3 24 44 47
 54 41 64  3 12 74 62 12 13 91 28 34 90 26 75
 33 40 10 33 47 57 27 50  4  1 21 46 42 78 72
 29  2 51  7 59 37 27 86 64 88 29 79 93 80 11
 26 73 81 38 43 84  2 61 78 27 87 74 86 26 25
 67  1  8 84 17 55 41 14 73 77 82 95 97 87 56
 61 20 72 93 69 19 40  1 50 10 64 24 55 87  6
 65 49 48 93 16 22 48 40 48 88 67 52 49 61 66
 99 28 37 49 61 46 92 13 19 62 97 50 38 91 90
machines :
  6  5  1  9 15  7  2 13 11 12 10 14  4  3  8
  2  7 13  6 14 11 12  1 10  5  3 15  9  8  4
  6 11  5  9 15  3 10 14  7  1  8 13 12  2  4
 12 13  7  2 15  5 14  4  1 10  8  3  9 11  6
 12 15 11  4  7  3 10 13  2  8  1 14  6  5  9
  3 14 10 12 13 15  8  6  5  7  2  4  9 11  1
  6  3  5  4 11  1  2  7 10  9 15 13  8 14 12
 15  4  6  5 10 12  2  7 11  8  9  1  3 14 13
 11 15  6  3 14  5  9 13 12  1  8  4  2  7 10
 15  1 13 12 10  3  4  9  2  6  8 11 14  7  5
  3 15 13  5 12  1 14 10  2  8  6  4  9 11  7
  1 13  9 14 12  3 10  6  8 15 11  7  5  2  4
 12  8  9  1  5  3 10 15  6  7 13  2  4 11 14
  3  7  1 12  2 15 10  4  8 14  6 11 13  9  5
  1 10 13  2 12  7  8  5 15  3  6  4 11  9 14
