number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1678386613  1567160817         935         902
processing times :
 67 72 48 47 12 13  7 83 81 81 91 45 78 49 57
 40 56 68 44 63 64 60 74 99 39 31 51 31 55 87
 43 27 11 40 16  7 21 55 86 16 48 98 41 26 98
 89 17  3 45  1 13 83 40 59 78 15 64 43 23 58
 59 49 18 55 63 21  5 13 41 56 93 73 31 35 85
  7 60 79 26 54 75 14 40 17 71 81 97 11 36  8
 19 58 26 65 68 34 76 95 39 89 70 28 40  1 68
 76 40 85 70 65 11 89 68 42 73 26  5 41 97 30
 91 31  9 97 70 31 66  6 71 23 20 42 45 99 81
 35 89 73 66 13 30 26 90 61 44 42 85 38 50 84
 32  8 69 26 87 13 12 46 23 55 28 28 69 83 57
 94 53  7 70  2 91 91 58 34 38 18 32  7 37 46
 41 13 55 16 33 42  4 49 68 28 44 63  8 25 89
 22 78 55 68 87 18 81 92 93 44 23 74 92 15 55
 79 13  6 58 80 36 55 61 33 97 87 24 60 57 39
machines :
  3  9  1  2  5  4  8 10 11 12  6  7 15 13 14
 12  3 13  9 11 14 15  6 10  1  2  5  4  7  8
  7 10 15  4 11  3  6  9 14  8  2 13 12  1  5
 11 14  8  7  5  9  3 13 12  6 10  4  2  1 15
  5 14 10 12  8  1  3 13 11 15  2  9  4  7  6
  8  5 13  7  3 11  6  2 10 12  4  1  9 14 15
  4  3 14 10 15  5  7  9 11  1 12  2  6  8 13
  6 11 12  3  2  7  8 13  9 15  5  4 10  1 14
  5  2  4 15 14  6  3  1 10 13  8 12  7 11  9
  2 12  3  5  8 10  7 15  6 11 13  4  1 14  9
  7  2 15 13  4  9 10  5  3 12  8 14 11  6  1
  6  5 12  8  2  7 14  9 10  1 15  4 13 11  3
  3 12 15  8  6 11  7 10  5 14  1  4  2  9 13
  7 13 15  4 11 12 10  3  2  8  6  1  5 14  9
  7  6 14 15 11  2  3  8 10  5 13 12  4  1  9
