number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1561423441  1787167667         956         937
processing times :
 28 78 22 21 10 16 53 19 46 85 47 98  8 78 16
 57 71 40 73 51 80 72 36 23 83  6 18 25 23 77
 56 85 47 32  9 81 58 78 68 38 81 85 65 16 86
 47 99 97 70 70 58 39 42 54 22 82 29 78 65 72
 35 38 43 78 58 24 27 93 43 79 88 60  5 70 33
 16 42 19 63 67 48 15 72 36 11 82 48 75 55 42
 51 56 43 33  6 61 72 29 94  3 40 62 40 10 56
 80 34 90  1 74 22 86 65 18 60 23 82 39 10  4
 56 55 25 76 47 19 51 33 41 80 82 18  2 60 27
  6 55 69 66 82 44 36 44 96 24 33 53 82 25 59
 78 82 84 59 35 55  9  8 73 60  8 35 50 98 36
 44 26 66 48 86 23 17 44 20 39 51 38 77 59 28
 75 63 67  3 70 64  7 68 80 23 65 58 98 89 84
 20  5 16 84 57 14 78  5 51 79 40 32 58 83 86
 26 17 65 13 72 86 23 41 21 88 91  4 94 40 79
machines :
  1 15 13  6  3  7  4 10 14 11  8  2 12  9  5
 11 15  9  4 12  2  7 13  8  3  1 10  5 14  6
 13  7  2  6  9  3 10 11  4 14 15  5 12  1  8
 13  9 15  4 12  3  6  7 11  8 10  1 14  2  5
  8 12  5  3 10  2  7  1  6 14 13 11  4 15  9
  7 12  1  8 15  3 14 13  2  5  4  6 10 11  9
 13  5 14 15  7  2  9 10  6  8  1  4 12 11  3
 10  3  4 12  9 11  8  5  2  6 15 14  7  1 13
 11  8 13  3 15  4 10  7  1 14 12  2  5  9  6
  3  1  7  9 11 14 10  8 13  5  2 12  4 15  6
  5  8 10 15 14  2  9  4  1 12  6 11  7 13  3
  9 11  2  7 10 13  8  1 14 15  4 12  3  5  6
  4  5  7  8  2 11  3  9 12 13  1  6 15 14 10
  5 12  6  4 14  3  8  1  9 11  7 13  2 15 10
 12 15  5  8  9 14 13  3  1  6 10 11  2  7  4
