number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15   801158374  1812110433         899         871
processing times :
 16 47 32 92 64 69 23 73 96 70 82  8 54 85 60
 60 26 35 33 33 46 54 52 23 14 66 35 56 32 51
 37 14 65 62 78 89 38  1 37 40 90 67 64 80 98
 79 71 59 55 15 92  6 66 18 65 94 50 94 34 18
 49 99 11 39 19 73 65 53 43 18 91 69 58 95 56
 92 77 95  7 33 24 47 75 67 31  5 78 16 22 87
 63 13 37 70 63 14  9 61 92 78 41 12 54 32 89
 74 53 12 71 64  4 48 11 23 25 80 58 70 61  5
 17 98 43 19 44 85 36 26 18 77 64 60 88 75 69
 65  1  5 26 43 50 90 12 64 72 61 49 50 89  2
 82 24 64  4 64 18 15 63 40 58 10 67 18 66 18
 33 95 17 13 40 56 95 50 19 29 29 91 82 28 41
 45 16  1 65 94 45 19 69 26 39 86 26 23 31 22
  3 63  4 26 50  7 92 51 57 34 86  8 66 60 37
 43 11 82  3 80 28 19 73 56 21 20  9 38 23 39
machines :
  4  5 10  2  8 15 14  1  9 12  7  6 13 11  3
 11 15 10 14  2  5  8  3  1 12  7  9  6 13  4
  5 12 15  9 11  2  8  4 14  7  3 10  1  6 13
 13  9  1 15  7 14 11  4  5  2 10  6  3  8 12
 14  5 13  2  1 11  9  6  8  3 12  7 10  4 15
 15 10  8  3 12  2  7  4  1  9 13 11 14  6  5
  2 15  4 13  1  8 11  9 14  6  5 12  7  3 10
 12  7  5  4  8 10  1 11  9 15  6 13  3 14  2
  6  1  5 12 15 13  9 10  2  8  3 11  4 14  7
  9 12  1 15  3 14  8  7  2 11 10 13  4  5  6
  4 11  9  1 13  2  7 12 14  6 15 10  3  5  8
 11 13  3  8 10  1  9  6  4 14  5  7 15  2 12
  4  9 14 15  6 12 11  8 13 10  5  7  2  1  3
 10  8  1  2 13  5  9  4  6 12 11 15 14  7  3
 14  9  2  4  3  7 10  5 12  6 13  1  8 11 15
