number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1760142791  1955448160         916         893
processing times :
 53 54 70 30 21 34  9 46 68 59  3 82 53 12 52
 69  7 96 63 50 29 71 99 68 31 24 49 39  3 92
 29 86 77 63 74 88 58 88 76 55 59  8 76  1 55
 88 61 51  4 57 62 21 33 16 39 46 41 57 63 52
 83  8 85 48 76 99 75 83 14  8 30 56 30 79  7
 60 21 87 83 56 31 11  1 32 76 62 42 57 61 15
 18 73 36 81 95 35 59 58 24  3 17 94 17 51 49
 24 84 49  5 99 45  6 50 50 62 70  6 13 32 74
 12 79 99 76 51 30 22 51 83 11 66 42 34 33 41
  3 70 21 75 25 85 33 61 10 98 98 33 47 87 30
 82 48 70 41  4 30 92 28 30 35 19 57 25 38 95
  8 95 85 55 58 92 81 28  3 85 84 18 62 24 82
 59 28 20 27 20 63 61 92 28 26 26 22 43 37 25
  3 40 33 57 24 35 58 12 61 96 23 32  6 77 92
  6  8  2 82 68 46 14 60 28 95 61 99 53 45 63
machines :
  1 13 15 10  6  5  8 11  3  2 14 12  4  9  7
  7  4  3 13  9 11  2 12  1 10  5  6 14 15  8
 15  5 10  1 14 11  6  4  9 12  3 13  7  2  8
  2  6 12  3  7  1 14  5  9  8 10 13 15 11  4
 13  4  7  1 10  2 15  5  6 12  8 14 11  9  3
 13  6  1  3  4 11  7 10 15  2  8  9 14  5 12
 15  1 14 11  8  7  4 12  5  3  9 13 10  2  6
  1  8  5  9 11  2 10 12 15  7  4  6 13 14  3
  6  1  5  9  4 14 10  2  3 12  7  8 11 13 15
  1  8 14  3  9 12 13 11  7  4 15  6  2  5 10
  7 10 13 15  9  6 14 12  5  2  8  1  4  3 11
  8 10 15 13  9  2  4  1  5  7 14  3 11 12  6
 10 12  6 13  9  4  3  8 14 11  2  1  7  5 15
  5  6 10 15 12 14  9  7 11  2  8  1  3 13  4
  4  5 12 13  1  2  7  8 11 15 10  9  6  3 14
