number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1130361878   849417380         959         933
processing times :
 63 24  3 47  2  7 73 27  2 21 53 79 19 78 19
 32 21 23  5 13 13 90 12 54 46 60 63 29 26 18
 53 55 80 85 42 27 69 44 28 94 66 75 77 44 71
 16 17 34 18  8 60  8 39 28 71 76 74 86 27  3
 39 79 62 52 65 33  1 45 49 16 99 85 14 86 80
 92 77 88 53 91 16 40 61 18 42 13 62 88  8 17
 72 27 97 99 26  4 69 77 63 77 88 41 63 32 98
 54 49 87 14 51 79 18 22 24 43 75 83 86 33 67
 82 39 57 15 55  4 70 84 22 86 63 83 27 75  6
 22 99 69 11 42 66 33 68  3 19 47 19 59 38 41
 82 25 61  2 93 43 84 34 92 79 36 65  1  3 32
 65 77 58 13 44 80  5 45 85 93 72 71 30 60 74
 62 73 60 82 65 74 89 18 27 82 72 23 69 22 48
 92 89 18 20 98 85 23 99 80  2 69 27 34 15 78
  8 28 38 43 22 50 55 56  5 45 65 51 96 64 18
machines :
 13  7  4  8 15  9 12  6 11 14  5  3  1  2 10
  7  1  5 10  2 12 15 14 13 11  8  4  3  9  6
 12 14  6  2  4  9  5  3  1 13 15 11 10  8  7
  4  7  5  9 13  6  8 11  1 12 15  2  3 10 14
  8  7  3  4 13 11  2 14  9  6  1 15 12 10  5
 12  2  5  9  6  4 14  3 10 15  7  1 13  8 11
 11  4  7  8  1  9  5 12 14 10  3  2 13  6 15
 11  6  8 13 12  5  7 10  4 15  9  1  2 14  3
  6  2  5  7 10 14 13  9 15 11 12  1  3  8  4
  1  8  4  3  7 10  2 15 14 11  5  9 13  6 12
 14  7  3 15 11  2  4  1 13 10  6  5  9 12  8
  2  4  3  7 12  5  1 10  9 11 14  8  6 15 13
  4 12 11  5 14  3 10  6  1  2 13 15  8  7  9
  4  3 12 13  2  6 14  8  9  5 10 11  1  7 15
  4  7  1 12 13  6  9 11  3  5  2 10 15  8 14
