number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1502847623  1527847153         946         934
processing times :
 84 25 39 55 36 71 65  9 82 90 57 11 20 13 15
 46 54 85 36 77 35 31 72 45  7 88 47 13 61 13
 27 20 68 60 58 53 96 82 16 89  2 12 54 87 41
 42 70 23 32 63 97 47 46 50 18 36 61 52 37 69
 46 12 34 29 79 84  6 40 22 38 23  5 94 54 41
  4 90 87 80 32 96 72 14 93 14 16 33 56 73 16
 75 73 15 36 43 71 51 23 43 62 51  1 79 96 17
 64 51 20 38  2 22 73 10 58 23 14 50 37 11 48
 16 19 17 97 75 89  1 69 58 70 23 27 93 79 40
 28 79 34 89 89 90 82 45  3 83 87 41 52 75 26
 99 77 29 24 56 97 73 44 18 95 35 76 55 37 89
 67 41 53 29 17 68 37 67 34 92  5 31  1 11 67
  7 24 77 92 97 47 23 76 53 15 27 32 63 27 66
 42 42 23 94 53 56 92 90 87 63 15 90 21 88 78
 32 15 23 81 22 71  9  6 78 71 44 33 79 96 78
machines :
  8  3  6  7 14 10 15  4 13  1 12  9 11  2  5
  5 11 14  9  8 10  6 15 12 13  3  2  1  4  7
  3 15  5  1 13  2 14 11  9  6  8  4 10 12  7
  5 13 11  7 12  4  6  1  3 14  9 10 15  2  8
  9  7 12 14  4 13  3  1  8  6  2 11 15  5 10
  6  8 15  9  3  4  2  1  5 12 14 10 11  7 13
  2  9  7 12  6  3  5 13  8 14  4  1 11 15 10
  4  9  2  6 12  7  3 13 15  1 14  8  5 11 10
 13  1  2 14  9  7  3  8 10 15  5 11 12  6  4
  8 12  4  9 15 13 10  2  1  7 11  3  6 14  5
  2 10  5  8  4  7  3 15 13 12  6 11  1 14  9
  6  5 10  9  7  4  3  8 15 13 11  2  1 14 12
  7 14  6  4  5 15  1 13  2 12  3  8 11  9 10
 10  9  7  2 11  5  3  6 15  8 12  4 13 14  1
  4  3 14  2  6 13 15  1  5  8  7 10 12  9 11
