number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15   204120997   213027331         957         918
processing times :
 53 46 70 21 67 42 96 83 62 81 41 72 92 67 25
 57 41 45 89 17 34 76 55 94 32 43 19 54 47 23
 51 77 73 86 16 49 22 53 20 71 63  3 50 14  5
 89 40 14 31 23 26 17 46 33 76 75 28 18 19 92
 15 29 36  3 59 43 16 96 62 76 39 25 33 34 16
 84 33 69 43 97 66 46  1 47 18 12 87 36 72 16
  9 57 39 83 80 49 73 71 12  8 19 77 62 72 98
 92 99 30 42 88 81 95  3 76 33 22 99 32 18 73
 24 49 54 95 28 98 83 66 26 78 29  9 25 46 97
 38 79 72 94 65 82 20 29 57 77  5 15 90 47 85
 15 35 78 69 73 59 20  3 14 58 80 64 47 95 32
 58 17 67 20 90 83 51 24 15 76 80 35 96 61 77
 89 49 62 47 46 77 62 42 64 98 35 67 48  1 36
  4 49 28  5 83 89 24 60 49 42 82 14 94 51 77
 51 49 86  8 83 86 46 42 53 50  3 60 44 34 37
machines :
  4 15  3  9 11  6  7 13  5  2  1  8 10 14 12
  7 15  3 12 10 14  2  9  8 11  5  4 13  1  6
 14  3 12  2  7  5  4 15 10  8 13  6  1  9 11
 10  4  7  8 15 13 14  5 12  6  1  3  2  9 11
 12 11  3 15 13  5  7  2  6  9  8 14  1  4 10
  8  3  7 13 15  6 10  1 11  2  9  4  5 14 12
  9  3  8 14 13  4  5 12  7 11 15  2 10  1  6
 10  7  3  6  8 14  9  5  1  4 12 15  2 11 13
  9  5 15  2 10  1  4 11 13  3 12 14  8  6  7
 11  6 15  5 14  7  9 12  3  8  4 13 10  1  2
  1 11  6  4 15 14  7 10  2  5 12 13  3  9  8
 14 10  8 15  1 13  6 11  7  9 12  5  2  3  4
 11 14  6  2  4 13  9 10  5  1  8  7 12 15  3
  4 12  9 11  7  6  8  3  1  2 13  5 15 10 14
  8  9  4 11  5  3  1 10  2 14  6 15  7 12 13
